id,citations,hindex,gindex,title,cs_author,biology_author,sociology_author,is_bridge_node,label
192883,21,3,4,0,1,0,0,0,192883
207681,2,1,1,3,1,0,0,0,207681
360963,12,1,3,0,0,0,0,0,360963
44992,69,4,8,0,0,0,0,0,44992
263689,423,13,19,0,0,0,0,0,263689
351414,36,4,5,3,0,0,0,0,351414
377765,109,5,10,0,1,1,0,0,377765
44993,288,6,16,0,0,1,0,0,44993
44995,1042,13,32,0,0,1,0,0,44995
94802,2471,23,49,0,0,1,0,0,94802
138184,829,14,28,0,0,0,0,0,138184
349831,206,3,14,0,0,0,0,0,349831
379243,952,11,30,0,0,1,0,0,379243
102008,66,5,6,1,0,0,0,0,102008
102521,488,13,21,0,1,0,0,0,102521
140597,175,8,13,0,1,0,0,0,140597
178616,3,1,1,1,0,0,0,0,178616
275534,23,3,4,0,0,0,0,0,275534
349345,213,8,13,0,1,0,0,0,349345
207401,6,1,2,0,0,0,0,0,207401
232439,9020,38,94,3,0,0,0,0,232439
45003,54,4,6,0,0,0,0,0,45003
119759,37,3,4,3,1,0,0,0,119759
298095,20,3,3,3,1,0,0,0,298095
54752,665,7,25,2,1,0,0,0,54752
75662,87,4,9,0,1,0,0,0,75662
80980,789,15,20,0,1,0,0,0,80980
119686,55,5,6,3,1,0,0,0,119686
251275,563,10,22,3,1,0,0,0,251275
45007,116,5,8,3,0,0,0,0,45007
277270,441,11,20,0,1,0,0,0,277270
45009,83,4,9,0,0,0,0,0,45009
198462,294,9,16,0,1,0,0,0,198462
216035,324,8,18,0,0,0,0,0,216035
45012,9,2,3,0,0,1,0,0,45012
386492,164,7,12,0,1,1,0,0,386492
45013,68,3,8,0,0,0,0,0,45013
307773,89,6,8,3,0,0,0,0,307773
190853,119,2,10,0,1,0,0,0,190853
367645,96,5,9,0,0,0,0,0,367645
257271,87,5,9,2,0,0,0,0,257271
388988,353,8,18,0,0,0,0,0,388988
267521,141,5,11,0,0,0,0,0,267521
323981,131,5,10,0,0,0,0,0,323981
401984,139,8,9,0,0,0,0,0,401984
45022,192,6,13,3,0,0,0,0,45022
325111,2153,7,46,0,0,0,0,0,325111
343654,126,6,11,0,0,0,0,0,343654
148243,81,3,9,0,1,0,0,0,148243
319984,533,12,22,3,1,1,0,0,319984
45030,49,4,7,0,0,0,0,0,45030
197830,198,7,13,0,0,0,0,0,197830
277483,249,8,14,3,0,0,0,0,277483
