node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
135168,2810,22,49,0,0,0,0,1,bridge
135169,1376,15,37,0,0,0,0,1,bridge
135170,654,14,25,0,0,0,0,0,non_bridge
135171,2,1,1,3,0,1,0,0,non_bridge
135172,314,10,17,0,0,0,0,1,bridge
135173,289,9,14,3,0,1,0,0,non_bridge
135174,153,6,12,0,1,0,0,0,non_bridge
135175,9,2,3,1,0,0,0,0,non_bridge
135176,0,0,0,0,1,0,0,0,non_bridge
135177,15365,69,111,3,1,1,0,0,non_bridge
135178,45,4,6,0,0,0,0,1,bridge
135179,2873,26,52,0,0,0,0,1,bridge
135180,0,0,0,3,0,0,0,1,bridge
135181,41,3,6,0,0,0,0,0,non_bridge
135182,80,4,8,0,0,1,0,1,bridge
135183,230,7,14,3,0,0,0,0,non_bridge
135184,7,2,2,0,1,0,0,0,non_bridge
135185,31,4,5,1,1,0,0,0,non_bridge
135186,48,3,6,2,0,0,0,0,non_bridge
135187,32,3,5,0,0,1,0,0,non_bridge
135188,127,5,11,1,0,0,0,0,non_bridge
135189,60,3,7,2,1,1,0,0,non_bridge
135190,477,13,18,0,0,0,0,0,non_bridge
135191,33,2,5,3,0,0,0,1,bridge
135192,27,3,5,0,0,0,0,0,non_bridge
135193,4070,27,60,3,0,0,0,0,non_bridge
135194,364,4,19,0,1,0,0,0,non_bridge
135195,1,1,1,0,0,1,0,0,non_bridge
135196,89,3,9,3,0,0,0,0,non_bridge
135197,0,0,0,3,0,0,0,0,non_bridge
135198,123,6,10,0,0,0,0,0,non_bridge
135199,9,1,3,3,0,0,0,0,non_bridge
135200,4,1,2,1,1,0,0,1,bridge
135201,0,0,0,1,1,0,0,0,non_bridge
135202,178,4,13,0,0,0,0,0,non_bridge
135203,6,2,2,0,1,0,0,0,non_bridge
135204,2750,27,46,3,1,0,0,0,non_bridge
135205,2066,14,45,0,1,1,0,0,non_bridge
135206,1624,22,40,3,0,0,0,0,non_bridge
135207,1943,22,43,3,0,1,0,0,non_bridge
135208,8,1,2,3,0,0,0,0,non_bridge
135209,0,0,0,3,1,0,0,0,non_bridge
135210,10,2,3,0,1,0,0,1,bridge
135211,2027,22,45,3,0,0,0,0,non_bridge
135212,5,2,2,1,0,0,0,1,bridge
135213,270,10,15,0,0,1,0,0,non_bridge
135214,274,10,13,0,0,0,0,1,bridge
135215,0,0,0,0,0,0,0,0,non_bridge
135216,72,4,8,0,0,0,0,0,non_bridge
135217,0,0,0,0,0,0,0,0,non_bridge
135218,384,11,18,0,1,0,0,0,non_bridge
135219,0,0,0,0,0,0,0,0,non_bridge
135220,73,2,8,0,0,0,0,0,non_bridge
135221,42,3,6,0,0,0,0,0,non_bridge
135222,10,2,3,0,1,0,0,0,non_bridge
135223,28,3,5,2,1,0,0,0,non_bridge
135224,25,3,5,0,0,0,0,0,non_bridge
135225,17,2,4,0,0,0,0,0,non_bridge
135226,860,14,29,0,1,0,0,0,non_bridge
135227,16,2,4,1,1,1,0,0,non_bridge
135228,28,1,5,0,1,0,0,0,non_bridge
135229,36,4,6,3,0,0,0,1,bridge
135230,158,6,12,0,1,0,0,0,non_bridge
135231,889,11,29,0,1,0,0,0,non_bridge
135232,286,9,16,0,0,0,0,0,non_bridge
135233,82,4,9,2,0,0,0,0,non_bridge
135234,39,4,6,1,0,1,0,0,non_bridge
135235,0,0,0,3,0,0,0,0,non_bridge
135236,0,0,0,1,0,0,0,1,bridge
135237,97,6,8,3,0,0,0,0,non_bridge
135238,167,7,11,3,0,0,0,0,non_bridge
135239,2,1,1,3,0,0,0,0,non_bridge
135240,73,3,8,0,1,0,0,0,non_bridge
135241,95,3,9,0,0,1,0,1,bridge
135242,384,13,19,3,0,0,0,1,bridge
135243,188,5,13,0,0,0,0,1,bridge
135244,104,6,10,0,0,1,0,0,non_bridge
135245,6,1,1,3,0,0,0,1,bridge
135246,975,16,27,0,0,0,0,0,non_bridge
135247,34,3,5,0,0,0,0,0,non_bridge
135248,4,1,2,0,0,0,0,0,non_bridge
135249,238,8,15,0,1,0,0,0,non_bridge
135250,2,1,1,1,0,0,0,0,non_bridge
135251,12,2,3,3,0,0,0,0,non_bridge
135252,163,4,12,0,0,1,0,0,non_bridge
135253,282,12,16,0,0,1,0,1,bridge
135254,51,3,6,0,0,0,0,1,bridge
135255,9,2,3,0,1,0,0,0,non_bridge
135256,21,3,4,0,0,1,0,1,bridge
135257,1060,13,32,3,0,0,0,0,non_bridge
135258,193,7,13,0,1,0,0,1,bridge
135259,62,4,7,0,0,0,0,0,non_bridge
135260,2689,18,51,3,1,0,0,0,non_bridge
135261,2,1,1,0,0,0,0,1,bridge
135262,23,2,4,0,0,0,0,0,non_bridge
135263,32,2,5,0,0,0,0,1,bridge
135264,1343,17,33,0,0,1,0,1,bridge
135265,0,0,0,0,0,0,0,0,non_bridge
135266,115,5,10,0,1,0,0,0,non_bridge
135267,1681,17,39,3,0,0,0,1,bridge
135268,171,6,12,3,0,0,0,0,non_bridge
135269,14,2,3,0,0,1,0,1,bridge
135270,83,5,9,0,0,1,0,1,bridge
