1,121510
2,330262
3,5217
3,79381
4,359776
5,90973
6,14117
6,179501
7,114343
7,346091
8,356946
9,202531
10,307122
12,380628
13,89014
17,216741
17,316416
18,114913
19,110328
22,36034
22,121607
24,111440
24,176031
25,231564
26,337678
27,154987
28,73860
28,197513
29,134999
31,317921
32,277643
35,168305
35,357387
37,306541
39,186289
39,295659
40,356530
41,109198
41,299404
43,338608
45,12528
47,35942
48,23123
49,334406
51,82432
51,209674
52,219681
53,387447
54,140634
55,209402
55,289723
56,216849
58,142881
59,278856
60,44507
60,62970
63,128509
64,205890
66,192788
67,114314
68,86678
69,338400
70,40826
72,193215
73,40327
75,134236
76,232566
78,256322
79,211626
79,270220
80,171835
81,138629
83,49396
83,237243
84,124395
85,264882
86,101043
87,322444
90,85085
92,30037
93,246260
94,169192
96,250283
97,116359
99,91658
101,33523
103,314715
104,302307
104,311333
106,360651
107,345496
108,40792
109,19830
110,299908
111,312897
112,166778
112,275323
113,165835
114,107485
116,345050
117,41086
118,304189
121,92825
122,209528
124,121998
126,112391
127,254175
129,116794
130,257043
130,301179
131,302964
132,111562
133,165572
135,366655
136,216699
138,278044
139,3841
140,190384
142,281481
143,302495
144,4911
144,115364
146,109463
147,248197
149,351437
150,20153
152,12840
153,26724
153,76214
154,342926
156,175351
158,257292
159,297452
160,46397
161,28202
164,310407
165,96381
166,99411
167,66009
169,306083
170,214977
172,334311
173,99603
175,319193
176,398732
179,163190
180,136615
181,315384
183,147139
185,80864
186,102157
188,287242
189,282429
190,144246
190,150007
194,361100
195,75579
196,200374
198,47525
201,212895
203,104320
204,227553
205,185607
209,202799
209,378217
210,383204
213,243968
214,104547
215,217530
216,94923
218,54580
219,171683
220,163632
221,34031
222,43443
222,62069
223,283323
224,304364
225,379822
226,116241
228,122955
229,253809
230,312928
232,143384
233,361183
234,333875
236,101650
236,301970
237,326886
238,236306
239,67748
239,243603
240,43979
241,655
242,273534
244,190469
245,134999
245,184440
245,370787
246,165718
247,69214
248,130555
251,181593
252,148539
253,74136
253,279227
254,74339
255,225461
256,381096
257,140484
258,221875
261,286158
262,177517
263,153849
264,88360
265,66388
267,64764
268,240197
269,381374
271,19967
272,53920
272,346662
273,4727
274,271349
276,374954
277,167961
278,159631
280,118468
282,364303
284,12816
285,191813
286,400784
289,3048
289,18587
290,235170
295,22177
297,395996
298,113392
299,22933
300,98041
301,22134
302,94555
303,257049
304,50782
305,230936
307,344515
309,192596
309,230372
311,326224
311,358339
312,160619
313,158660
314,189047
315,109194
317,143756
317,382914
319,360989
320,37791
323,341909
323,376017
324,366489
325,239797
328,45904
329,376542
330,293106
335,39227
336,205988
337,388509
338,165475
339,308802
340,44500
341,201620
341,264307
342,34672
343,185455
344,229821
345,192119
346,335241
347,342465
350,329829
353,5857
354,248270
355,1110
356,243390
357,220563
358,250976
360,50567
360,333526
361,318245
362,186228
363,101012
367,6204
368,67598
368,251228
369,53217
371,76117
371,399636
372,338542
373,18538
375,95356
376,193329
377,88739
377,296717
378,145955
379,291635
380,126716
381,293850
383,289235
384,377429
387,153586
389,107858
391,142924
392,369230
395,25156
395,300649
397,302429
398,10328
398,59980
399,231848
400,60226
401,30324
403,256522
404,2201
406,183594
408,253623
410,19885
411,258402
412,346862
413,373059
415,333580
417,86703
418,75113
418,115723
418,283895
419,284530
422,209403
423,79664
424,124604
425,177862
426,234830
427,42377
428,295999
429,313801
430,38654
430,227716
430,271517
431,15741
431,371778
432,115324
433,195055
434,183095
435,284382
436,124206
436,206448
437,348751
438,287004
439,93672
440,378259
441,46958
442,263848
443,355019
444,162658
447,193204
448,252457
450,56783
450,173609
450,338178
452,315963
454,146166
455,273534
456,283434
459,90332
459,323450
460,144371
461,145902
462,148666
462,282485
463,50862
463,296391
464,247338
467,67021
467,220487
467,352779
468,334199
469,300454
469,363994
470,113024
471,109212
472,188890
475,350041
476,6870
477,73880
479,157312
480,81240
480,150990
483,75115
484,123405
485,42357
486,319271
487,100449
488,362180
490,129914
491,274260
493,293975
495,275482
500,8511
500,65775
501,98801
503,96100
504,169922
505,293463
506,162994
507,105622
508,210835
510,237748
510,340301
511,371920
512,123493
514,348240
515,97157
516,336843
517,26869
518,362431
519,192719
521,158707
521,195850
522,269620
523,300936
524,222114
525,394305
526,264777
527,209203
528,326753
529,104298
531,206284
531,390035
534,137826
535,375697
536,196569
538,300174
539,319876
540,157355
542,319153
544,188467
545,300961
546,4467
547,351093
549,109004
550,257973
551,58708
552,143514
553,12563
554,37853
555,101854
555,139081
555,222858
556,393825
559,114450
561,302869
562,38325
565,270678
566,48425
566,117329
567,318442
569,147398
570,11682
571,201517
572,201043
574,322429
575,316879
576,372456
577,320748
578,354394
580,24617
581,239611
582,261569
584,254467
586,312249
590,382687
591,247428
593,349414
595,383751
596,345281
597,269230
598,393828
599,359859
600,166025
601,317901
603,202473
604,133316
605,61508
606,190944
607,166864
609,167374
