node,citations,hindex,gindex,title,cs,bio,soc,is_bridge_node,node_type
53197,67,5,8,1,0,0,0,1,bridge
53207,1,1,1,3,0,0,0,1,bridge
53208,1998,24,44,0,0,0,0,1,bridge
53217,119,5,10,2,0,0,0,1,bridge
53224,125,4,11,0,0,0,0,1,bridge
53225,1,1,1,0,0,0,0,1,bridge
53226,2,1,1,0,0,0,0,1,bridge
53234,15832,68,117,0,0,0,0,1,bridge
53236,19,3,4,0,0,0,0,1,bridge
53237,0,0,0,0,0,0,0,1,bridge
53241,318,10,17,0,0,0,0,1,bridge
53252,299,10,17,0,1,1,0,1,bridge
53254,252,7,15,3,1,0,0,1,bridge
53260,258,7,15,0,0,0,0,1,bridge
53261,26,2,5,0,0,1,0,1,bridge
53273,13,1,3,0,0,0,0,1,bridge
53275,1567,15,39,0,1,1,0,1,bridge
53278,0,0,0,0,1,0,0,1,bridge
53288,12,2,3,0,0,0,0,1,bridge
53289,27,3,4,0,0,0,0,1,bridge
53292,54,4,7,0,1,0,0,1,bridge
53310,96,5,9,0,0,0,0,1,bridge
53311,51,5,6,0,0,0,0,1,bridge
53312,0,0,0,3,0,0,0,1,bridge
53313,135,6,11,0,0,0,0,1,bridge
53314,127,7,10,3,0,0,0,1,bridge
53323,377,10,19,0,0,0,0,1,bridge
53326,12,2,3,0,0,0,0,1,bridge
53330,31,3,5,0,0,0,0,1,bridge
53332,2534,21,50,3,0,0,0,1,bridge
53336,193,8,11,0,0,1,0,1,bridge
53337,3734,23,61,0,0,1,0,1,bridge
53339,2430,27,42,3,0,0,0,1,bridge
53344,93,4,9,0,1,0,0,1,bridge
53348,26,2,5,0,0,0,0,1,bridge
53353,19,2,4,0,0,0,0,1,bridge
53355,0,0,0,0,1,0,0,1,bridge
53359,99,5,9,0,0,0,0,1,bridge
53362,36,3,5,3,0,1,0,1,bridge
53367,6,1,1,0,0,0,0,1,bridge
53371,83,3,9,0,0,0,0,1,bridge
53373,2,1,1,0,0,0,0,1,bridge
53375,6,1,2,0,0,0,0,1,bridge
53376,93,5,9,0,0,0,0,1,bridge
53378,1779,23,40,0,0,0,0,1,bridge
53379,106,5,9,2,1,0,0,1,bridge
53380,862,15,25,0,1,1,0,1,bridge
53382,3,1,1,0,1,0,0,1,bridge
53388,3670,35,59,0,0,0,0,1,bridge
53395,44,4,6,0,0,0,0,1,bridge
53396,1130,13,33,0,0,0,0,1,bridge
53401,192,7,11,0,1,0,0,1,bridge
53404,379,7,19,0,1,0,0,1,bridge
53410,2608,24,50,0,1,0,0,1,bridge
53412,76,3,8,0,0,0,0,1,bridge
53414,1724,22,35,3,0,0,0,1,bridge
53415,17,2,4,0,0,0,0,1,bridge
53417,9393,49,96,0,0,1,0,1,bridge
53418,182,8,12,3,0,0,0,1,bridge
53420,13,2,3,3,0,0,0,1,bridge
53423,1964,9,44,3,0,0,0,1,bridge
53433,7,2,2,0,0,0,0,1,bridge
53437,68,4,8,3,0,0,0,1,bridge
53439,1463,19,37,0,1,0,0,1,bridge
53441,114,6,10,0,0,1,0,1,bridge
53447,5,2,2,0,0,0,0,1,bridge
53449,1414,21,33,0,0,0,0,1,bridge
53450,1,1,1,0,0,0,0,1,bridge
53454,195,6,13,3,0,0,0,1,bridge
53455,8,2,2,0,0,0,0,1,bridge
53458,21,4,4,1,0,0,0,1,bridge
53461,477,10,21,0,0,0,0,1,bridge
53475,3236,28,49,3,0,1,0,1,bridge
53476,33,3,5,0,0,0,0,1,bridge
53478,124,3,11,0,1,1,0,1,bridge
53481,522,12,22,0,0,1,0,1,bridge
53487,62,5,7,0,0,0,0,1,bridge
53488,391,5,19,0,0,0,0,1,bridge
53490,1001,18,26,0,1,0,0,1,bridge
53492,89,4,9,3,0,1,0,1,bridge
53501,5498,25,72,3,1,0,0,1,bridge
53503,80,4,8,0,0,1,0,1,bridge
53519,13,2,2,0,0,0,0,1,bridge
53534,120,5,10,3,0,0,0,1,bridge
53537,1701,27,39,0,0,0,0,1,bridge
53538,19,2,4,0,0,0,0,1,bridge
53539,105,5,9,3,1,0,0,1,bridge
53542,60,5,7,0,0,0,0,1,bridge
53543,593,13,20,0,0,0,0,1,bridge
53548,3569,32,59,0,0,1,0,1,bridge
53559,65,5,7,0,0,0,0,1,bridge
53560,316,8,17,0,0,0,0,1,bridge
53563,1229,15,34,3,1,1,0,1,bridge
53566,17,3,4,3,0,0,0,1,bridge
53578,21,2,3,3,0,0,0,1,bridge
53589,425,10,20,3,0,1,0,1,bridge
53591,69,5,8,3,0,0,0,1,bridge
53593,26,4,4,3,0,0,0,1,bridge
53594,75,4,8,0,0,0,0,1,bridge
53595,207,9,14,3,1,0,0,1,bridge
53598,12,2,3,1,0,0,0,1,bridge
53601,359,5,18,1,1,0,0,1,bridge
53603,389,10,19,0,0,0,0,1,bridge
53604,1,1,1,1,1,0,0,1,bridge
53608,135,6,11,0,0,0,0,1,bridge
53610,0,0,0,0,0,0,0,1,bridge
53614,22,3,4,0,1,0,0,1,bridge
53628,15,2,2,0,1,0,0,1,bridge
53629,340,7,18,3,0,0,0,1,bridge
53633,86,6,9,0,0,0,0,1,bridge
53635,26,3,4,3,0,0,0,1,bridge
53637,149,6,12,3,1,0,0,1,bridge
53642,84,5,9,0,0,0,0,1,bridge
53647,27,3,5,0,0,1,0,1,bridge
53648,130,7,9,3,0,0,0,1,bridge
53656,50,4,7,0,0,0,0,1,bridge
53657,7,2,2,1,0,1,0,1,bridge
53660,656,7,25,0,0,1,0,1,bridge
53670,599,13,23,3,1,0,0,1,bridge
53675,40,4,6,0,0,0,0,1,bridge
53677,70,4,8,0,0,1,0,1,bridge
53678,424,9,20,3,0,0,0,1,bridge
53690,348,9,16,0,0,0,0,1,bridge
53692,1036,14,32,0,1,0,0,1,bridge
53697,47,3,6,3,0,0,0,1,bridge
53706,864,15,27,0,0,1,0,1,bridge
53710,71,4,8,0,0,0,0,1,bridge
53726,712,8,26,0,0,0,0,1,bridge
53727,1363,19,35,0,0,0,0,1,bridge
53728,21,2,4,0,0,0,0,1,bridge
53729,24,3,4,1,0,1,0,1,bridge
53737,0,0,0,0,0,0,0,1,bridge
53739,181,7,12,0,0,1,0,1,bridge
53743,253,9,15,0,0,0,0,1,bridge
53748,2,1,1,0,0,0,0,1,bridge
53751,353,13,17,3,0,0,0,1,bridge
53752,2016,23,39,3,1,1,0,1,bridge
53754,136,6,11,3,0,1,0,1,bridge
53756,25,1,5,0,0,0,0,1,bridge
53758,877,8,29,2,0,1,0,1,bridge
53762,32,3,5,0,1,0,0,1,bridge
53763,527,3,22,3,0,0,0,1,bridge
53771,15,3,3,0,0,0,0,1,bridge
53772,1401,21,34,0,1,0,0,1,bridge
53773,20,3,4,0,0,0,0,1,bridge
53774,281,8,14,0,0,0,0,1,bridge
53776,430,12,17,0,0,0,0,1,bridge
53777,1318,19,35,3,0,1,0,1,bridge
53784,194,6,13,0,0,0,0,1,bridge
53787,4,1,1,0,0,1,0,1,bridge
53788,13,2,3,0,0,0,0,1,bridge
53789,109,4,10,2,0,0,0,1,bridge
53791,23,2,4,0,0,1,0,1,bridge
53805,60,4,7,0,0,0,0,1,bridge
53813,1212,12,34,0,0,1,0,1,bridge
53818,634,11,24,3,1,0,0,1,bridge
53822,4,1,2,0,0,0,0,1,bridge
53823,416,13,20,0,0,0,0,1,bridge
53824,2939,27,52,0,1,1,0,1,bridge
53826,18,1,4,0,0,0,0,1,bridge
53830,502,11,22,0,1,0,0,1,bridge
