1,121510
2,16334
2,130848
2,171681
2,295877
2,330262
2,336056
2,352677
3,5217
3,49008
3,79381
3,219876
3,362013
3,369009
4,25139
4,67165
4,92443
4,99048
4,101987
4,123160
4,147811
4,197050
4,202692
4,226800
4,270285
4,359776
4,368019
4,388139
4,401094
5,90973
5,100217
5,133814
5,163659
5,168680
5,178626
5,184385
5,242540
5,256207
5,276061
5,297237
5,343018
5,365566
5,381846
5,383372
5,397185
6,9432
6,14117
6,18078
6,41550
6,101881
6,137346
6,157156
6,179501
6,200653
6,221395
6,248309
6,267308
6,287477
6,327830
6,360405
6,361361
6,364032
6,382831
6,385009
6,402089
7,78919
7,106080
7,114343
7,152465
7,159648
7,346091
8,11754
8,27765
8,43294
8,65985
8,112821
8,255158
8,262653
8,272602
8,303369
8,332954
8,342064
8,356946
8,368264
9,24261
9,24534
9,50758
9,63486
9,77372
9,81751
9,108513
9,120614
9,133131
9,137573
9,138273
9,183530
9,187946
9,189970
9,202531
9,215105
9,232715
9,235992
9,265989
9,271507
9,354438
9,382192
9,386180
10,307122
12,38449
12,101610
12,173215
12,178044
12,215634
12,255234
12,302203
12,380628
13,89014
13,289321
17,26529
17,32251
17,36119
17,38418
17,77395
17,103280
17,106433
17,115318
17,151485
17,159533
17,200477
17,201557
17,203963
17,206473
17,210446
17,216741
17,226898
17,229077
17,230999
17,246692
17,250055
17,270545
17,294926
17,305703
17,307523
17,316416
17,322718
17,329829
17,364568
17,383828
17,401005
18,39261
18,95063
18,114913
18,161313
18,186894
18,199636
18,229423
18,366451
19,110328
22,36034
22,42896
22,47689
22,110766
22,121607
22,197689
22,259477
22,269196
22,309355
24,87742
24,111024
24,111440
24,176031
24,193959
24,215389
24,284370
24,315439
24,330175
24,349284
25,231564
25,361471
26,46222
26,140535
26,165796
26,195505
26,211755
26,259306
26,337678
27,45919
27,57054
27,154987
27,200798
27,222588
27,248893
27,279298
27,299549
27,336293
27,371045
28,73860
28,197513
28,240040
28,371852
28,375166
29,134999
29,220438
29,254238
31,117026
31,317921
32,121101
32,169719
32,186434
32,192379
32,254958
32,262849
32,272761
32,277643
32,282766
32,307027
35,35977
35,106744
35,134253
35,158877
35,168305
35,187718
35,265985
35,305858
35,310662
35,357387
35,363295
37,151655
37,168639
37,189431
37,240537
37,306541
37,336557
37,383805
39,186289
39,295659
40,39183
40,77139
40,89853
40,95853
40,157626
40,166780
40,204118
40,213836
40,237073
40,266045
40,274938
40,279175
40,318959
40,354792
40,356530
40,370230
40,389086
41,109198
41,173574
41,196901
41,299404
43,53337
43,65826
43,71198
43,78068
43,85711
43,87605
43,97318
43,108848
43,114572
43,125495
43,127437
43,127919
43,129550
43,137409
43,137939
43,150457
43,158043
43,162803
43,170817
